197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
197,197,197,197,197,197,201,225,225,225,225,225,225,225,225,225,225,225,202,197,197,197,197,197
197,197,197,197,197,201,226,268,266,265,267,267,268,266,267,266,266,266,196,197,197,197,197,197
197,197,197,197,201,226,266,267,268,267,265,265,265,264,265,264,268,264,224,202,197,197,197,197
197,197,197,201,226,267,266,157,264,264,266,266,265,265,264,264,267,265,266,224,225,202,197,197
197,197,201,226,268,265,266,179,264,264,265,268,267,265,266,267,264,265,266,264,266,224,202,197
197,197,198,268,267,267,264,179,264,265,268,265,266,266,264,264,265,268,223,268,266,268,196,197
197,201,226,268,266,268,158,163,221,221,221,221,221,222,267,265,267,266,268,266,265,267,196,197
197,198,265,266,264,265,179,265,265,268,266,265,265,264,265,264,265,268,265,267,267,265,196,197
197,198,266,267,266,264,179,267,267,267,268,268,266,264,264,265,268,265,265,267,268,264,196,197
197,198,268,264,266,265,179,266,267,265,264,265,267,264,265,265,265,264,266,264,267,265,196,197
197,198,265,266,265,264,179,266,265,268,268,268,266,265,265,266,268,268,268,264,264,267,196,197
197,198,264,265,266,265,179,267,264,264,264,265,265,268,265,223,264,268,265,267,267,267,196,197
197,198,268,266,268,268,224,221,161,264,264,268,268,264,266,268,266,266,264,266,265,268,196,197
197,198,265,267,264,266,264,265,179,264,266,268,267,268,268,268,267,267,264,268,265,266,196,197
197,198,265,268,265,268,264,268,179,266,268,266,264,264,266,266,266,268,264,223,267,264,196,197
197,198,265,268,268,265,267,266,179,268,268,266,264,266,264,267,264,268,265,268,266,168,230,197
197,229,170,266,266,265,265,266,179,264,264,266,267,268,264,264,267,268,267,264,266,196,197,197
197,197,229,170,268,266,266,268,201,267,268,268,268,264,268,267,267,266,265,268,265,196,197,197
197,197,197,198,268,267,268,267,266,265,266,264,268,266,265,268,266,223,267,265,265,196,197,197
197,197,197,229,170,265,266,266,266,268,264,266,268,265,264,266,266,266,266,268,168,230,197,197
197,197,197,197,229,170,264,267,264,268,267,267,268,264,265,268,268,264,268,168,230,197,197,197
197,197,197,197,197,229,169,169,169,169,169,169,169,169,169,169,169,169,169,230,197,197,197,197
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
